    Sample,      Time,     Channel0, Channel1, Channel2,
0,0.00040140002965927124,37.0,37.0,34.0
1,1.069892599945888,31.0,34.0,20.0
2,2.14598869998008,25.0,30.0,28.0
3,3.216109700035304,27.0,37.0,27.0
4,4.280148900114,26.0,37.0,32.0
5,5.346311900066212,25.0,21.0,26.0
6,6.416355499997735,21.0,28.0,23.0
7,7.480461300117895,26.0,27.0,33.0
8,11.403370500076562,33.0,26.0,25.0
9,12.468083499930799,30.0,38.0,24.0
10,13.537172199925408,25.0,25.0,31.0
11,14.594605300109833,25.0,33.0,37.0
12,15.661331299925223,28.0,30.0,30.0
13,16.731840000022203,23.0,21.0,33.0
14,17.80346369999461,34.0,28.0,25.0
15,18.904117800062522,21.0,30.0,24.0
